CASENUM,STRM,Subject,CatalogNbr,TITLE,Grade
486,FALL 13,MA,243,Calculus & Analytical Geom III,A
486,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
487,FALL 12,MA,242,Calculus & Analytical Geom II,F
487,SPRING 13,MA,242,Calculus & Analytical Geom II,F
488,FALL 12,MA,112,College Math for Aviation II,C
488,SPRING 13,MA,241,Calculus & Analytical Geom I,F
489,FALL 12,MA,112,College Math for Aviation II,C
490,FALL 12,MA,241,Calculus & Analytical Geom I,C
490,SUMMER 13,MA,242,Calculus & Analytical Geom II,B
491,FALL 12,MA,241,Calculus & Analytical Geom I,D
491,SPRING 13,MA,242,Calculus & Analytical Geom II,C
492,FALL 12,MA,112,College Math for Aviation II,A
493,FALL 12,MA,243,Calculus & Analytical Geom III,B
493,SPRING 13,MA,412,Probability and Statistics,B
493,FALL 13,MA,345,Differential Eq & Matrix Meth,B
494,FALL 12,MA,241,Calculus & Analytical Geom I,F
495,FALL 12,MA,241,Calculus & Analytical Geom I,A
495,SPRING 13,MA,242,Calculus & Analytical Geom II,A
495,FALL 13,MA,243,Calculus & Analytical Geom III,A
495,FALL 14,MA,345HON,Differential Eq & Matrix Meth,A
497,FALL 12,MA,241,Calculus & Analytical Geom I,B
497,SPRING 13,MA,242,Calculus & Analytical Geom II,B
497,FALL 13,MA,345,Differential Eq & Matrix Meth,NS
497,FALL 13,MA,412,Probability and Statistics,P
497,SPRING 14,MA,243HON,Calc & Analytical Geometry III,B
498,FALL 12,MA,112,College Math for Aviation II,C
498,SPRING 13,MA,241,Calculus & Analytical Geom I,A
498,FALL 13,MA,242,Calculus & Analytical Geom II,B
499,FALL 12,MA,241,Calculus & Analytical Geom I,D
499,SPRING 13,MA,241,Calculus & Analytical Geom I,C
500,FALL 12,MA,241,Calculus & Analytical Geom I,B
500,SPRING 13,MA,242,Calculus & Analytical Geom II,B
500,FALL 13,MA,243,Calculus & Analytical Geom III,C
500,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
500,FALL 14,MA,441,Math Methods Engr & Physics I,B
501,FALL 12,MA,242,Calculus & Analytical Geom II,A
501,SPRING 13,MA,243,Calculus & Analytical Geom III,B
501,FALL 13,MA,345,Differential Eq & Matrix Meth,B
501,SPRING 14,MA,441,Math Methods Engr & Physics I,A
502,FALL 12,MA,241,Calculus & Analytical Geom I,C
503,FALL 12,MA,6,Intermediate Algebra,F
503,SPRING 13,MA,6,Intermediate Algebra,B
503,FALL 13,MA,111,College Math for Aviation I,C
503,SPRING 14,MA,112,College Math for Aviation II,C
504,FALL 12,MA,111,College Math for Aviation I,B
504,SPRING 13,MA,112,College Math for Aviation II,F
504,FALL 13,MA,112,College Math for Aviation II,D
505,FALL 12,MA,243,Calculus & Analytical Geom III,D
505,SPRING 13,MA,243,Calculus & Analytical Geom III,C
505,FALL 13,MA,345,Differential Eq & Matrix Meth,D
505,SPRING 14,MA,441,Math Methods Engr & Physics I,D
506,FALL 12,MA,241,Calculus & Analytical Geom I,A
506,SPRING 13,MA,242,Calculus & Analytical Geom II,A
506,FALL 13,MA,243,Calculus & Analytical Geom III,A
506,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
506,SPRING 15,MA,441,Math Methods Engr & Physics I,A
507,FALL 12,MA,143,Precalculus Essentials,A
507,SPRING 13,MA,241,Calculus & Analytical Geom I,A
507,FALL 13,MA,242,Calculus & Analytical Geom II,D
507,SPRING 14,MA,242,Calculus & Analytical Geom II,C
507,FALL 14,MA,243,Calculus & Analytical Geom III,F
507,SPRING 15,MA,243,Calculus & Analytical Geom III,C
507,SUMMER 15,MA,345,Differential Eq & Matrix Meth,B
508,FALL 12,MA,241,Calculus & Analytical Geom I,C
509,FALL 12,MA,112,College Math for Aviation II,B
510,FALL 12,MA,6,Intermediate Algebra,A
510,SPRING 13,MA,111,College Math for Aviation I,D
510,SUMMER 13,MA,112,College Math for Aviation II,C
511,FALL 12,MA,143,Precalculus Essentials,A
511,SPRING 13,MA,241,Calculus & Analytical Geom I,C
511,FALL 13,MA,242,Calculus & Analytical Geom II,AU
511,SPRING 14,MA,242,Calculus & Analytical Geom II,D
512,FALL 12,MA,6,Intermediate Algebra,B
512,SPRING 13,MA,143,Precalculus Essentials,F
513,FALL 12,MA,6,Intermediate Algebra,C
514,FALL 12,MA,112,College Math for Aviation II,A
515,FALL 12,MA,241,Calculus & Analytical Geom I,F
515,FALL 13,MA,120,Quantitative Methods I,A
515,SPRING 14,MA,220,Quantitative Methods II,A
516,FALL 12,MA,242,Calculus & Analytical Geom II,F
516,SPRING 13,MA,242,Calculus & Analytical Geom II,F
517,FALL 12,MA,6,Intermediate Algebra,F
517,SPRING 13,MA,6,Intermediate Algebra,A
518,FALL 12,MA,242,Calculus & Analytical Geom II,A
518,SPRING 13,MA,243,Calculus & Analytical Geom III,A
518,FALL 13,MA,345,Differential Eq & Matrix Meth,A
518,SPRING 14,MA,441,Math Methods Engr & Physics I,A
519,FALL 12,MA,241,Calculus & Analytical Geom I,A
519,SPRING 13,MA,242,Calculus & Analytical Geom II,B
519,FALL 13,MA,243,Calculus & Analytical Geom III,C
519,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
519,FALL 14,MA,441,Math Methods Engr & Physics I,B
520,FALL 12,MA,6,Intermediate Algebra,F
520,SPRING 13,MA,6,Intermediate Algebra,B
520,FALL 13,MA,111,College Math for Aviation I,F
520,SPRING 14,MA,111,College Math for Aviation I,F
521,FALL 12,MA,241,Calculus & Analytical Geom I,C
521,SPRING 13,MA,242,Calculus & Analytical Geom II,C
521,FALL 13,MA,243,Calculus & Analytical Geom III,B
522,FALL 12,MA,241,Calculus & Analytical Geom I,F
522,SPRING 13,MA,241,Calculus & Analytical Geom I,B
523,FALL 12,MA,143,Precalculus Essentials,C
523,SPRING 13,MA,241,Calculus & Analytical Geom I,F
524,FALL 12,MA,241,Calculus & Analytical Geom I,C
524,SPRING 13,MA,242,Calculus & Analytical Geom II,B
524,FALL 13,MA,243,Calculus & Analytical Geom III,C
524,SPRING 14,MA,345,Differential Eq & Matrix Meth,F
524,FALL 14,MA,345,Differential Eq & Matrix Meth,D
524,SPRING 15,MA,441,Math Methods Engr & Physics I,D
525,FALL 12,MA,143,Precalculus Essentials,B
525,SPRING 13,MA,241,Calculus & Analytical Geom I,C
525,FALL 13,MA,242,Calculus & Analytical Geom II,C
525,SPRING 14,MA,243,Calculus & Analytical Geom III,C
525,FALL 14,MA,243,Calculus & Analytical Geom III,B
525,SPRING 15,MA,345,Differential Eq & Matrix Meth,C
526,FALL 12,MA,241,Calculus & Analytical Geom I,C
526,SPRING 13,MA,242,Calculus & Analytical Geom II,F
526,SUMMER 13,MA,242,Calculus & Analytical Geom II,C
526,FALL 13,MA,243,Calculus & Analytical Geom III,C
526,SPRING 14,MA,345,Differential Eq & Matrix Meth,D
526,FALL 14,MA,441,Math Methods Engr & Physics I,D
527,FALL 12,MA,112,College Math for Aviation II,F
527,SPRING 13,MA,112,College Math for Aviation II,F
528,FALL 12,MA,242,Calculus & Analytical Geom II,B
528,SPRING 13,MA,243,Calculus & Analytical Geom III,A
528,FALL 13,MA,345,Differential Eq & Matrix Meth,C
528,SPRING 14,MA,441,Math Methods Engr & Physics I,D
528,FALL 14,MA,441,Math Methods Engr & Physics I,C
529,FALL 12,MA,6,Intermediate Algebra,B
529,SPRING 13,MA,111,College Math for Aviation I,C
529,FALL 13,MA,112,College Math for Aviation II,D
530,FALL 12,MA,143,Precalculus Essentials,A
530,SPRING 13,MA,241,Calculus & Analytical Geom I,C
530,FALL 13,MA,242,Calculus & Analytical Geom II,AU
530,SPRING 14,MA,242,Calculus & Analytical Geom II,C
530,FALL 14,MA,243,Calculus & Analytical Geom III,F
530,SPRING 15,MA,243,Calculus & Analytical Geom III,D
531,FALL 12,MA,143,Precalculus Essentials,C
531,SPRING 13,MA,112,College Math for Aviation II,C
531,SPRING 14,MA,222,Business Statistics,B
532,FALL 12,MA,111,College Math for Aviation I,C
532,SPRING 13,MA,112,College Math for Aviation II,C
533,FALL 12,MA,4,Beginning Algebra,F
533,SPRING 13,MA,4,Beginning Algebra,F
534,FALL 12,MA,143,Precalculus Essentials,C
535,FALL 12,MA,241,Calculus & Analytical Geom I,F
535,SPRING 13,MA,111,College Math for Aviation I,B
536,FALL 12,MA,112,College Math for Aviation II,A
536,SPRING 13,MA,241,Calculus & Analytical Geom I,B
536,FALL 13,MA,242,Calculus & Analytical Geom II,C
536,SPRING 14,MA,243,Calculus & Analytical Geom III,B
536,FALL 14,MA,345,Differential Eq & Matrix Meth,D
536,SPRING 15,MA,441,Math Methods Engr & Physics I,F
537,FALL 12,MA,6,Intermediate Algebra,A
537,SPRING 13,MA,111,College Math for Aviation I,C
537,SPRING 14,MA,112,College Math for Aviation II,D
537,SPRING 14,MA,222,Business Statistics,C
538,FALL 12,MA,220,Quantitative Methods II,A
538,FALL 13,MA,222,Business Statistics,A
539,FALL 12,MA,111,College Math for Aviation I,B
539,SPRING 13,MA,143,Precalculus Essentials,C
539,FALL 13,MA,241,Calculus & Analytical Geom I,W
539,FALL 14,MA,112,College Math for Aviation II,A
540,FALL 12,MA,143,Precalculus Essentials,D
541,FALL 12,MA,111,College Math for Aviation I,D
541,SPRING 13,MA,112,College Math for Aviation II,C
542,FALL 12,MA,112,College Math for Aviation II,C
543,FALL 12,MA,6,Intermediate Algebra,W
544,FALL 12,MA,242,Calculus & Analytical Geom II,C
544,SPRING 13,MA,243HON,Calc & Analytical Geometry III,A
544,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
544,SPRING 14,MA,441,Math Methods Engr & Physics I,A
545,FALL 12,MA,6,Intermediate Algebra,B
545,SPRING 13,MA,111,College Math for Aviation I,C
546,FALL 12,MA,111,College Math for Aviation I,B
546,SPRING 13,MA,112,College Math for Aviation II,C
547,FALL 12,MA,143,Precalculus Essentials,B
547,SPRING 13,MA,241,Calculus & Analytical Geom I,F
547,FALL 13,MA,241,Calculus & Analytical Geom I,F
547,SPRING 14,MA,241,Calculus & Analytical Geom I,F
548,FALL 12,MA,241,Calculus & Analytical Geom I,C
548,SPRING 13,MA,242,Calculus & Analytical Geom II,C
549,FALL 12,MA,242,Calculus & Analytical Geom II,A
549,SPRING 13,MA,243,Calculus & Analytical Geom III,B
549,FALL 13,MA,345,Differential Eq & Matrix Meth,A
549,SPRING 14,MA,432,Linear Algebra,C
549,FALL 14,MA,441,Math Methods Engr & Physics I,A
550,FALL 12,MA,111,College Math for Aviation I,A
550,SPRING 13,MA,112,College Math for Aviation II,B
551,FALL 12,MA,143,Precalculus Essentials,A
551,SPRING 13,MA,241,Calculus & Analytical Geom I,D
552,FALL 12,MA,241,Calculus & Analytical Geom I,B
552,SPRING 13,MA,242,Calculus & Analytical Geom II,W
552,FALL 13,MA,242,Calculus & Analytical Geom II,A
552,SPRING 14,MA,243HON,Calc & Analytical Geometry III,A
552,FALL 14,MA,345,Differential Eq & Matrix Meth,B
552,SPRING 15,MA,348,Numerical Analysis I,A
553,FALL 12,MA,243,Calculus & Analytical Geom III,C
553,SPRING 13,MA,345,Differential Eq & Matrix Meth,D
553,FALL 13,MA,441,Math Methods Engr & Physics I,F
553,SPRING 14,MA,441,Math Methods Engr & Physics I,D
554,FALL 12,MA,6,Intermediate Algebra,A
554,SPRING 13,MA,120,Quantitative Methods I,A
554,FALL 13,MA,220,Quantitative Methods II,A
554,SPRING 14,MA,222,Business Statistics,B
555,FALL 12,MA,143,Precalculus Essentials,B
555,SPRING 13,MA,241,Calculus & Analytical Geom I,C
555,FALL 13,MA,242,Calculus & Analytical Geom II,W
556,FALL 12,MA,111,College Math for Aviation I,A
556,SPRING 13,MA,112,College Math for Aviation II,B
557,FALL 12,MA,143,Precalculus Essentials,C
557,SPRING 13,MA,241,Calculus & Analytical Geom I,C
557,FALL 13,MA,242,Calculus & Analytical Geom II,D
557,SPRING 14,MA,242,Calculus & Analytical Geom II,C
557,FALL 14,MA,243,Calculus & Analytical Geom III,D
557,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
557,SUMMER 15,MA,243,Calculus & Analytical Geom III,C
558,SPRING 13,MA,6,Intermediate Algebra,AU
558,SUMMER 13,MA,6,Intermediate Algebra,B
558,FALL 13,MA,111,College Math for Aviation I,B
558,SPRING 14,MA,112,College Math for Aviation II,B
559,FALL 12,MA,6,Intermediate Algebra,B
559,SPRING 13,MA,143,Precalculus Essentials,C
559,SPRING 14,MA,241,Calculus & Analytical Geom I,AU
560,FALL 12,MA,242,Calculus & Analytical Geom II,B
560,SPRING 13,MA,243,Calculus & Analytical Geom III,B
560,FALL 13,MA,345,Differential Eq & Matrix Meth,A
560,SPRING 14,MA,441,Math Methods Engr & Physics I,B
561,FALL 12,MA,111,College Math for Aviation I,B
561,SPRING 13,MA,112,College Math for Aviation II,B
562,FALL 12,MA,112,College Math for Aviation II,C
563,FALL 12,MA,6,Intermediate Algebra,A
563,SPRING 13,MA,143,Precalculus Essentials,B
563,SUMMER 13,MA,241,Calculus & Analytical Geom I,C
563,FALL 13,MA,242,Calculus & Analytical Geom II,AU
563,SPRING 14,MA,242,Calculus & Analytical Geom II,B
563,FALL 14,MA,243,Calculus & Analytical Geom III,D
563,SUMMER 15,MA,345,Differential Eq & Matrix Meth,B
564,FALL 12,MA,241,Calculus & Analytical Geom I,C
565,FALL 12,MA,143,Precalculus Essentials,C
565,SPRING 13,MA,241,Calculus & Analytical Geom I,AU
565,SUMMER 13,MA,241,Calculus & Analytical Geom I,W
566,FALL 12,MA,241,Calculus & Analytical Geom I,B
566,SPRING 13,MA,242,Calculus & Analytical Geom II,B
566,FALL 13,MA,243,Calculus & Analytical Geom III,C
566,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
567,FALL 12,MA,6,Intermediate Algebra,F
567,SPRING 13,MA,6,Intermediate Algebra,F
568,FALL 12,MA,143,Precalculus Essentials,C
568,SPRING 13,MA,241,Calculus & Analytical Geom I,C
568,FALL 13,MA,242,Calculus & Analytical Geom II,AU
568,SPRING 14,MA,242,Calculus & Analytical Geom II,D
568,FALL 14,MA,243,Calculus & Analytical Geom III,W
568,SPRING 15,MA,243,Calculus & Analytical Geom III,C
568,SUMMER 15,MA,345,Differential Eq & Matrix Meth,W
569,FALL 12,MA,241,Calculus & Analytical Geom I,F
570,FALL 12,MA,6,Intermediate Algebra,F
570,SPRING 13,MA,6,Intermediate Algebra,C
570,FALL 13,MA,111,College Math for Aviation I,F
570,SPRING 14,MA,111,College Math for Aviation I,D
570,FALL 14,MA,112,College Math for Aviation II,C
571,FALL 12,MA,241,Calculus & Analytical Geom I,A
571,SPRING 13,MA,242,Calculus & Analytical Geom II,A
571,FALL 13,MA,243,Calculus & Analytical Geom III,B
571,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
571,FALL 14,MA,441,Math Methods Engr & Physics I,A
572,FALL 12,MA,6,Intermediate Algebra,B
572,SPRING 13,MA,111,College Math for Aviation I,F
572,FALL 13,MA,111,College Math for Aviation I,C
572,SPRING 14,MA,112,College Math for Aviation II,F
572,SUMMER 14,MA,112,College Math for Aviation II,A
573,FALL 12,MA,111,College Math for Aviation I,D
573,SUMMER 13,MA,111,College Math for Aviation I,A
573,FALL 13,MA,112,College Math for Aviation II,AU
573,SPRING 14,MA,112,College Math for Aviation II,F
573,SUMMER 14,MA,112,College Math for Aviation II,W
573,FALL 14,MA,112,College Math for Aviation II,C
574,FALL 12,MA,143,Precalculus Essentials,A
574,SPRING 13,MA,241,Calculus & Analytical Geom I,C
575,FALL 12,MA,111,College Math for Aviation I,C
575,FALL 13,MA,112,College Math for Aviation II,F
575,SPRING 14,MA,112,College Math for Aviation II,D
576,FALL 12,MA,241,Calculus & Analytical Geom I,A
576,SPRING 13,MA,242,Calculus & Analytical Geom II,B
576,FALL 13,MA,243,Calculus & Analytical Geom III,C
576,SPRING 14,MA,395BHY,Math  Modeling & Simulation,B
576,SUMMER 14,MA,345,Differential Eq & Matrix Meth,B
579,FALL 12,MA,241,Calculus & Analytical Geom I,A
579,SPRING 13,MA,242,Calculus & Analytical Geom II,A
579,FALL 13,MA,243,Calculus & Analytical Geom III,A
580,FALL 12,MA,241,Calculus & Analytical Geom I,A
580,SPRING 13,MA,242,Calculus & Analytical Geom II,B
580,FALL 13,MA,243,Calculus & Analytical Geom III,C
580,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
580,FALL 14,MA,441,Math Methods Engr & Physics I,A
580,SPRING 15,MA,432,Linear Algebra,A
581,FALL 12,MA,241,Calculus & Analytical Geom I,C
582,FALL 12,MA,241,Calculus & Analytical Geom I,A
582,SPRING 13,MA,242,Calculus & Analytical Geom II,D
583,FALL 12,MA,241,Calculus & Analytical Geom I,C
583,SPRING 13,MA,242,Calculus & Analytical Geom II,AU
584,FALL 12,MA,112,College Math for Aviation II,B
585,FALL 12,MA,6,Intermediate Algebra,B
585,SPRING 13,MA,111,College Math for Aviation I,C
585,FALL 13,MA,112,College Math for Aviation II,D
586,FALL 12,MA,241,Calculus & Analytical Geom I,A
586,SPRING 13,MA,242,Calculus & Analytical Geom II,B
586,FALL 13,MA,243,Calculus & Analytical Geom III,A
586,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
586,SUMMER 14,MA,441,Math Methods Engr & Physics I,A
587,FALL 12,MA,112,College Math for Aviation II,A
587,SPRING 13,MA,222HON,Business Statistics,A
588,FALL 12,MA,6,Intermediate Algebra,A
588,SPRING 13,MA,111,College Math for Aviation I,C
588,FALL 13,MA,112,College Math for Aviation II,F
589,FALL 12,MA,143,Precalculus Essentials,B
589,SPRING 13,MA,241,Calculus & Analytical Geom I,C
590,SPRING 15,MA,6,Intermediate Algebra,B
590,SUMMER 15,MA,111,College Math for Aviation I,B
591,FALL 12,MA,111,College Math for Aviation I,D
591,SPRING 13,MA,111,College Math for Aviation I,F
591,FALL 13,MA,111,College Math for Aviation I,F
592,FALL 12,MA,241,Calculus & Analytical Geom I,B
592,SPRING 13,MA,242,Calculus & Analytical Geom II,A
592,FALL 13,MA,243,Calculus & Analytical Geom III,A
592,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
592,FALL 14,MA,441,Math Methods Engr & Physics I,A
593,FALL 12,MA,111,College Math for Aviation I,D
593,SPRING 13,MA,111,College Math for Aviation I,C
594,FALL 12,MA,4,Beginning Algebra,B
594,SPRING 13,MA,111,College Math for Aviation I,C
594,FALL 13,MA,112,College Math for Aviation II,C
595,FALL 12,MA,6,Intermediate Algebra,F
595,SPRING 13,MA,6,Intermediate Algebra,F
595,FALL 14,MA,6,Intermediate Algebra,B
595,SPRING 15,MA,112,College Math for Aviation II,C
596,FALL 12,MA,111,College Math for Aviation I,W
597,FALL 12,MA,6,Intermediate Algebra,A
597,SPRING 13,MA,111,College Math for Aviation I,B
597,FALL 13,MA,112,College Math for Aviation II,B
598,FALL 12,MA,6,Intermediate Algebra,B
598,SPRING 13,MA,111,College Math for Aviation I,C
598,FALL 13,MA,112,College Math for Aviation II,F
599,FALL 12,MA,4,Beginning Algebra,F
600,FALL 12,MA,6,Intermediate Algebra,B
600,SPRING 13,MA,143,Precalculus Essentials,B
600,FALL 13,MA,241,Calculus & Analytical Geom I,B
600,SPRING 14,MA,242,Calculus & Analytical Geom II,C
600,FALL 14,MA,243,Calculus & Analytical Geom III,B
600,SPRING 15,MA,345,Differential Eq & Matrix Meth,F
601,FALL 12,MA,111,College Math for Aviation I,A
601,SPRING 13,MA,112,College Math for Aviation II,B
603,FALL 12,MA,111,College Math for Aviation I,A
603,SPRING 13,MA,112,College Math for Aviation II,AU
603,FALL 13,MA,112,College Math for Aviation II,B
604,FALL 12,MA,241,Calculus & Analytical Geom I,C
604,SPRING 13,MA,242,Calculus & Analytical Geom II,W
604,FALL 13,MA,243,Calculus & Analytical Geom III,C
604,SPRING 14,MA,345,Differential Eq & Matrix Meth,F
605,FALL 12,MA,143,Precalculus Essentials,D
606,FALL 12,MA,6,Intermediate Algebra,A
606,SPRING 13,MA,111,College Math for Aviation I,A
606,FALL 13,MA,143,Precalculus Essentials,A
606,SPRING 14,MA,241,Calculus & Analytical Geom I,C
606,FALL 14,MA,242,Calculus & Analytical Geom II,D
607,FALL 12,MA,112,College Math for Aviation II,A
608,FALL 12,MA,143,Precalculus Essentials,B
608,SPRING 13,MA,241,Calculus & Analytical Geom I,C
609,FALL 12,MA,242,Calculus & Analytical Geom II,B
609,SPRING 13,MA,243,Calculus & Analytical Geom III,B
609,FALL 13,MA,345,Differential Eq & Matrix Meth,B
609,SPRING 14,MA,441,Math Methods Engr & Physics I,D
609,SPRING 14,MA,432,Linear Algebra,C
609,FALL 14,MA,348,Numerical Analysis I,A
609,SPRING 15,MA,412,Probability and Statistics,B
610,FALL 12,MA,111,College Math for Aviation I,B
610,SPRING 13,MA,112,College Math for Aviation II,W
611,FALL 12,MA,6,Intermediate Algebra,C
611,SPRING 13,MA,120,Quantitative Methods I,W
611,FALL 13,MA,120,Quantitative Methods I,F
611,FALL 14,MA,120,Quantitative Methods I,F
611,SPRING 15,MA,120,Quantitative Methods I,D
612,FALL 12,MA,241,Calculus & Analytical Geom I,A
612,SPRING 13,MA,242,Calculus & Analytical Geom II,C
612,FALL 13,MA,242,Calculus & Analytical Geom II,B
612,SPRING 14,MA,243,Calculus & Analytical Geom III,F
612,FALL 14,MA,243,Calculus & Analytical Geom III,B
612,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
612,SUMMER 15,MA,441,Math Methods Engr & Physics I,B
613,FALL 12,MA,112,College Math for Aviation II,A
614,FALL 12,MA,112,College Math for Aviation II,F
614,SPRING 13,MA,112,College Math for Aviation II,D
615,FALL 12,MA,6,Intermediate Algebra,B
615,SPRING 13,MA,143,Precalculus Essentials,D
615,FALL 13,MA,241,Calculus & Analytical Geom I,W
615,FALL 14,MA,112,College Math for Aviation II,F
615,SPRING 15,MA,112,College Math for Aviation II,D
616,FALL 12,MA,241,Calculus & Analytical Geom I,C
616,SPRING 13,MA,242,Calculus & Analytical Geom II,C
616,FALL 13,MA,243,Calculus & Analytical Geom III,B
616,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
616,SPRING 15,MA,441,Math Methods Engr & Physics I,AU
616,SUMMER 15,MA,241,Calculus & Analytical Geom I,B
617,FALL 12,MA,6,Intermediate Algebra,C
617,SPRING 13,MA,111,College Math for Aviation I,C
617,FALL 13,MA,222,Business Statistics,W
617,SPRING 14,MA,112,College Math for Aviation II,F
617,SUMMER 14,MA,112,College Math for Aviation II,D
618,FALL 12,MA,111,College Math for Aviation I,D
618,SPRING 13,MA,112,College Math for Aviation II,C
619,FALL 12,MA,4,Beginning Algebra,A
619,SPRING 13,MA,111,College Math for Aviation I,A
619,SUMMER 13,MA,222,Business Statistics,A
620,FALL 12,MA,241,Calculus & Analytical Geom I,B
620,SPRING 13,MA,242,Calculus & Analytical Geom II,A
620,FALL 13,MA,243,Calculus & Analytical Geom III,B
620,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
621,FALL 12,MA,241,Calculus & Analytical Geom I,B
621,SPRING 13,MA,242,Calculus & Analytical Geom II,D
621,SUMMER 13,MA,242,Calculus & Analytical Geom II,F
621,FALL 13,MA,242,Calculus & Analytical Geom II,A
621,SPRING 14,MA,243,Calculus & Analytical Geom III,C
622,FALL 12,MA,242,Calculus & Analytical Geom II,B
622,SPRING 13,MA,243,Calculus & Analytical Geom III,B
623,FALL 12,MA,143,Precalculus Essentials,A
623,SPRING 13,MA,241,Calculus & Analytical Geom I,A
623,FALL 13,MA,242,Calculus & Analytical Geom II,C
623,SPRING 14,MA,243,Calculus & Analytical Geom III,B
623,FALL 14,MA,345,Differential Eq & Matrix Meth,B
623,SPRING 15,MA,441,Math Methods Engr & Physics I,B
624,FALL 12,MA,143,Precalculus Essentials,F
625,FALL 12,MA,111,College Math for Aviation I,C
625,SPRING 13,MA,112,College Math for Aviation II,F
626,FALL 12,MA,6,Intermediate Algebra,A
626,SPRING 13,MA,143,Precalculus Essentials,B
626,FALL 13,MA,241,Calculus & Analytical Geom I,C
626,SPRING 14,MA,242,Calculus & Analytical Geom II,F
626,SUMMER 14,MA,242,Calculus & Analytical Geom II,C
626,FALL 14,MA,243,Calculus & Analytical Geom III,C
626,SPRING 15,MA,345,Differential Eq & Matrix Meth,C
627,FALL 12,MA,241,Calculus & Analytical Geom I,B
628,FALL 12,MA,112,College Math for Aviation II,B
629,FALL 12,MA,143,Precalculus Essentials,B
629,SPRING 13,MA,241,Calculus & Analytical Geom I,B
629,FALL 13,MA,242,Calculus & Analytical Geom II,B
629,SPRING 14,MA,243,Calculus & Analytical Geom III,A
629,FALL 14,MA,345,Differential Eq & Matrix Meth,B
629,SPRING 15,MA,441,Math Methods Engr & Physics I,C
630,FALL 12,MA,241,Calculus & Analytical Geom I,C
630,SPRING 13,MA,242,Calculus & Analytical Geom II,B
631,FALL 12,MA,241,Calculus & Analytical Geom I,A
631,SPRING 13,MA,242,Calculus & Analytical Geom II,A
631,FALL 13,MA,243,Calculus & Analytical Geom III,A
631,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
631,SUMMER 14,MA,441,Math Methods Engr & Physics I,A
632,FALL 12,MA,111,College Math for Aviation I,A
632,SPRING 13,MA,112,College Math for Aviation II,A
633,FALL 12,MA,112,College Math for Aviation II,A
635,FALL 12,MA,6,Intermediate Algebra,F
636,FALL 12,MA,143,Precalculus Essentials,B
636,SPRING 13,MA,241,Calculus & Analytical Geom I,B
636,FALL 13,MA,243,Calculus & Analytical Geom III,C
636,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
637,FALL 12,MA,6,Intermediate Algebra,B
637,SPRING 13,MA,143,Precalculus Essentials,D
637,FALL 13,MA,242,Calculus & Analytical Geom II,W
637,FALL 13,MA,241,Calculus & Analytical Geom I,F
637,SPRING 14,MA,241,Calculus & Analytical Geom I,D
638,FALL 12,MA,241,Calculus & Analytical Geom I,A
638,SPRING 13,MA,242,Calculus & Analytical Geom II,A
638,FALL 13,MA,243,Calculus & Analytical Geom III,A
638,SPRING 14,MA,345,Differential Eq & Matrix Meth,W
639,FALL 12,MA,241,Calculus & Analytical Geom I,B
639,SPRING 13,MA,242,Calculus & Analytical Geom II,D
639,FALL 13,MA,242,Calculus & Analytical Geom II,C
639,SPRING 14,MA,243,Calculus & Analytical Geom III,C
639,FALL 14,MA,345,Differential Eq & Matrix Meth,A
639,SPRING 15,MA,441,Math Methods Engr & Physics I,B
640,FALL 12,MA,241,Calculus & Analytical Geom I,A
640,SPRING 13,MA,242,Calculus & Analytical Geom II,A
640,FALL 13,MA,243,Calculus & Analytical Geom III,A
640,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
641,FALL 12,MA,6,Intermediate Algebra,F
641,SPRING 13,MA,6,Intermediate Algebra,C
642,FALL 12,MA,111,College Math for Aviation I,A
642,SPRING 13,MA,112,College Math for Aviation II,B
643,FALL 12,MA,143,Precalculus Essentials,W
643,SPRING 13,MA,111,College Math for Aviation I,A
644,FALL 12,MA,6,Intermediate Algebra,C
644,SPRING 13,MA,143,Precalculus Essentials,B
645,FALL 12,MA,241,Calculus & Analytical Geom I,D
645,SPRING 13,MA,241,Calculus & Analytical Geom I,C
646,FALL 12,MA,143,Precalculus Essentials,D
646,SPRING 13,MA,241,Calculus & Analytical Geom I,B
646,FALL 13,MA,242,Calculus & Analytical Geom II,AU
646,SPRING 14,MA,143,Precalculus Essentials,C
646,SPRING 14,MA,242,Calculus & Analytical Geom II,B
646,FALL 14,MA,243,Calculus & Analytical Geom III,F
646,SPRING 15,MA,243,Calculus & Analytical Geom III,C
647,FALL 12,MA,4,Beginning Algebra,A
647,SPRING 13,MA,111,College Math for Aviation I,B
