hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 name,gradeN,1TG Bla,1T GD z,Change,RATE
3.7,580,580,1060,3860,4020,2,17,4,Calculus & Analytical Geom I,3,2.941,0.759,1,N
3.7,610,610,1170,4000,4130,1,16,4,Calculus & Analytical Geom II,2,2.938,0.762,0,N
3.7,720,640,1360,4220,4320,4,16,4,Calculus & Analytical Geom II,2,2.938,0.762,0,G
3.7,650,650,1300,4170,4260,3,16,4,Calculus & Analytical Geom II,1,2.938,0.762,1,G
3.89,720,640,1360,4334,4472,2,17,4,Calculus & Analytical Geom I,4,3.118,0.772,0,N
3.59,490,490,920,3564,3792,0,16,4,Calculus & Analytical Geom I,2,2.813,0.777,1,G
3.71,600,620,1220,4066,4188,4,15,4,Calculus & Analytical Geom II,2,2.933,0.777,1,G
3.84,540,680,1220,4204,4292,2,17,4,Calculus & Analytical Geom II,3,3.059,0.781,0,G
3.02,660,660,1170,3642,3586,3,16,4,Calculus & Analytical Geom I,2,2.231,0.789,0,G
3,510,460,970,3230,3370,1,16,4,Calculus & Analytical Geom I,2,2.2,0.8,1,N
3.24,600,720,1300,3964,3892,3,16,4,Calculus & Analytical Geom II,3,2.438,0.802,0,N
3.07,560,720,1280,3842,3736,3,15,4,Calculus & Analytical Geom II,3,2.267,0.803,0,G
3.37,570,580,1060,3662,3756,0,16,4,Calculus & Analytical Geom I,2,2.563,0.807,0,G
3.5,600,580,1180,3860,3980,2,16,1,Intermediate Algebra,3,2.688,0.812,0,G
