hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,RATE.NND
4,1280,4,17,4,3,3.353,0.647,G
3.98,1180,1,16,4,3,2.813,1.167,G
3.73,1350,2,17,4,2,2.571,1.159,N
3.84,910,4,15,3,2,3.2,0.64,G
3.3,1130,3,12,1,4,3.583,-0.283,G
2.89,1270,4,16,2,3,2.6,0.29,G
3.97,1360,0,16,4,4,4,-0.03,G
3.75,1180,2,16,4,3,3.188,0.562,G
3,1180,0,16,4,0,1.625,1.375,N
2.42,1110,3,16,1,0,0.933,1.487,N
3.13,1070,4,15,2,2,2.357,0.773,N
3.91,1250,4,16,3,3,3,0.91,G
2.73,850,4,14,1,2,2.846,-0.116,N
2.7,1080,3,12,,,2.583,0.117,N
3.17,1040,3,15,1,2,2.583,0.587,N
3.77,1450,1,16,4,3,3.563,0.207,N
2.7,1170,1,16,2,3,3,-0.3,G
3.9,1430,1,16,,,4,-0.1,G
2.98,950,4,12,,,1,1.98,N
3.19,1100,1,14,2,0,2.917,0.273,G
3.74,1360,0,16,4,3,3.125,0.615,G
2.98,1030,2,16,2,2,2,0.98,N
3,1230,0,16,4,3,2.875,0.125,N
4,1420,3,17,4,4,4,0,G
3.26,920,3,12,,,2.417,0.843,N
2.66,810,4,15,1,1,1.8,0.86,N
3.69,1030,3,15,3,3,3.533,0.157,N
3.11,1230,4,16,4,2,2.692,0.418,N
2.35,1100,0,14,2,0,1,1.35,N
3.22,1160,4,16,1,3,2,1.22,G
3.7,1020,2,16,1,4,4,-0.3,N
3.43,1340,1,16,4,3,3.375,0.055,G
3.7,1090,1,14,2,4,4,-0.3,N
2.68,1080,0,16,2,2,3.063,-0.383,G
3.31,1100,0,16,2,1,2.467,0.843,G
2.47,1020,2,13,1,1,1.75,0.72,N
2.87,810,3,17,1,0,1.875,0.995,G
3.23,1180,2,15,1,4,3.8,-0.57,G
3.08,1180,4,16,2,4,3.133,-0.053,G
3.68,1100,0,16,3,4,3.25,0.43,G
2.94,1080,3,16,2,0,1.438,1.502,G
2.78,790,3,12,1,1,2.364,0.416,N
3.93,1260,4,15,4,4,3.6,0.33,G
2.74,940,0,16,2,1,2.133,0.607,G
3.74,1040,3,16,,,3.813,-0.073,G
3.7,1130,4,16,1,4,3.067,0.633,G
3.3,1180,3,16,4,2,1.538,1.762,N
3.81,1270,1,16,4,3,3.563,0.247,G
3.14,1040,1,16,2,3,2.538,0.602,N
3.89,1400,0,14,4,4,4,-0.11,G
4,1240,2,14,4,4,3.786,0.214,G
2.93,1500,4,15,3,4,3.267,-0.337,N
3.81,1280,3,16,4,0,2.077,1.733,G
3.7,1190,1,16,,,2.867,0.833,G
2.3,1030,4,15,2,3,2.4,-0.1,G
2.76,830,1,17,1,3,1.714,1.046,G
3.11,1440,3,16,4,4,2.462,0.648,N
3.02,1170,3,16,4,2,2.231,0.789,G
2.68,840,0,15,2,0,1.75,0.93,N
3.7,1270,0,15,2,4,2.6,1.1,G
3.17,1330,3,16,4,4,3.063,0.107,N
3.32,1000,4,16,4,3,3.188,0.132,G
3,970,4,12,,,1.75,1.25,N
4,1370,0,16,,,4,0,G
3.98,1340,0,16,2,2,3.267,0.713,N
3.38,1240,3,15,4,0,0,3.38,N
2.82,1130,2,16,2,1,3,-0.18,N
3.9,1320,3,16,4,3,2.688,1.212,G
3.82,1170,1,16,4,3,3.188,0.632,N
3.32,1030,0,14,1,2,1.929,1.391,N
2.88,1090,2,15,,,1.909,0.971,N
3.65,1200,1,16,4,4,3.688,-0.038,G
3.45,1160,3,16,4,1,2.412,1.038,N
3.97,1320,2,17,4,1,2.714,1.256,G
2.78,1010,3,17,,,0.615,2.165,N
1.91,910,2,16,1,2,1.8,0.11,N
3.65,1120,4,15,2,2,2.667,0.983,N
3.63,1040,3,17,4,0,1.118,2.512,N
2.42,1190,3,15,1,4,3.067,-0.647,N
2.55,940,3,16,1,2,2.813,-0.263,N
3.94,1130,4,16,4,4,4,-0.06,G
2.8,880,4,16,1,2,2.667,0.133,N
2.8,1010,2,16,1,0,1.333,1.467,N
2.15,960,0,16,1,0,1.867,0.283,N
3.12,880,4,17,2,2,3.118,0.002,G
3.36,1260,4,16,4,4,3.5,-0.14,G
