CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
675,3.3,500,500,980,3460,3620,1,0,2,2,BSAE,16,4,140,College Algebra,C,2,142,Trigonometry,C,2,1.5,1.5,1.8,1.8,BSAE,0,0,0,1,9,1.4,1.4,1.9,1.9,N,W
684,3.22,600,570,1170,3672,3746,4,1,1,7,BSME,16,2,112,College Math for Aviation II,D,1,,,,,1.4,1.4,1.82,1.82,BSME,0,0,0,1,5,3,3,0.22,0.22,N,W
686,3.9,460,460,840,3640,3960,0,0,2,2,BSCE,16,3,142,Trigonometry,F,0,,,,,3.563,3.563,0.337,0.337,BSCE,0,0,0,1,16,3.563,3.563,0.337,0.337,N,W
702,3.9,600,590,1190,4120,4310,3,1,1,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.25,2.25,1.65,1.65,BSAE,0,0,0,1,44,2.553,2.553,1.347,1.347,N,W
797,3,500,500,900,3200,3300,2,1,2,2,BSAE,13,1,6,Intermediate Algebra,A,4,,,,,2.769,2.769,0.231,0.231,BSAE,1,0,0,1,143,2.33,2.33,0.67,0.67,G,G
805,2.98,450,430,880,3098,3264,4,1,2,2,BSAE,15,4,140,College Algebra,C,2,142,Trigonometry,C,2,1.667,1.667,1.313,1.313,BSAE,0,0,0,1,9,1.667,1.667,1.313,1.313,N,W
809,2.34,490,490,940,2834,2812,4,1,2,5,BSAE,15,4,241,Calculus & Analytical Geom I,D,1,,,,,1.25,1.25,1.09,1.09,BSAE,1,0,0,1,15,1.619,1.619,0.721,0.721,N,S
834,3.3,700,700,1330,4010,3970,4,1,2,5,BSAE,16,4,242,Calculus & Analytical Geom II,B,3,,,,,3.188,3.188,0.112,0.112,BSAE,0,0,0,1,20,3.188,3.188,0.112,0.112,N,W
851,3.45,460,480,930,3480,3690,3,1,2,5,NDCOE,17,4,241,Calculus & Analytical Geom I, ,0,,,,, ,0,,3.45,NDCOE,0,0,0,1,0, ,0,,3.45,N,W
853,3.9,420,500,920,3760,4040,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I, ,0,,,,, ,0,,3.9,BSAE,0,0,0,1,6, ,0,,3.9,N,W
