hsgpa,SUPER V,SUPER M,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 ,gradeN,1TG Bla,1T GD b,Change,RATE
3.43,510,490,3744,2,17,2,112,2,3.059,0.371,0,N
2.53,500,500,2944,0,13,2,111,0,0.667,1.863,0,N
3.7,600,600,4070,4,16,3,241,0,0.769,2.931,0,N
2.67,540,440,3116,4,16,1,6,1,2.467,0.203,1,N
2.3,490,450,2780,2,16,1,6,2,1.875,0.425,0,N
4,560,560,4220,1,16,3,242,3,3,1,0,N
3.23,650,590,3824,2,16,2,111,2,3.067,0.163,0,G
3.27,520,520,3626,3,16,1,6,2,2.25,1.02,1,N
3.3,570,570,3690,3,16,2,111,0, ,,1,N
2.7,310,310,2760,0,14,1,6,0,1.308,1.392,0,N
3,610,610,3530,3,16,2,112,0,1.867,1.133,1,N
