hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
3.01,1150,0,16,4,4,3.125,-0.115,0,2.766,0.244,N
2.88,930,0,16,1,4,2.563,0.317,0,2.69,0.19,N
3.58,1080,1,16,2,1,1.933,1.647,0,1.852,1.728,N
2.81,1090,0,16,4,1,2.313,0.497,0,2.919,-0.109,G
3.83,1300,0,16,4,3,2.846,0.984,0,2.846,0.984,N
3.52,890,3,12,,,3.333,0.187,1,3.137,0.383,N
3.7,1390,3,14,4,2,3,0.7,0,2,1.7,G
2.89,1110,2,17,4,3,2.286,0.604,0,2.361,0.529,N
2.3,690,2,14,1,0,0.214,2.086,0,0.214,2.086,N
3.8,1300,0,16,4,3,2.5,1.3,0,3.033,0.767,G
2.95,980,0,12,,,3,-0.05,1,2.742,0.208,G
3.3,1250,3,14,4,0,2.8,0.5,0,2.918,0.382,N
3.63,1290,4,16,4,3,3,0.63,1,3.079,0.551,N
3.28,1220,0,16,4,4,2.813,0.467,0,2.627,0.653,G
3.15,920,0,17,,,2.571,0.579,0,1.64,1.51,N
3.85,1060,4,17,4,4,3.706,0.144,1,2.76,1.09,G
3.81,1220,1,16,4,4,3.077,0.733,0,3.077,0.733,N
2.5,1130,2,14,,,1.429,1.071,1,1.429,1.071,N
3.68,1220,3,12,4,1,2.417,1.263,0,3.095,0.585,N
2.65,930,0,17,1,0,0.529,2.121,0,0.529,2.121,N
3.28,1000,0,13,1,4,3.077,0.203,0,3.024,0.256,G
3.14,950,4,16,4,1,2.313,0.827,0,3.036,0.104,G
3.1,1070,1,15,1,3,2.267,0.833,1,1.735,1.365,N
2.97,1090,1,16,1,0,1.533,1.437,0,1.533,1.437,N
2.91,1090,1,16,4,2,2.563,0.347,0,2.922,-0.012,N
3.7,1100,3,15,4,2,3,0.7,0,2.4,1.3,N
2.7,730,1,14,2,0,1.214,1.486,1,0.962,1.738,N
3,980,3,14,2,1,2.929,0.071,0,3.295,-0.295,G
3.93,1380,0,15,4,4,3.714,0.216,1,3.469,0.461,G
4,1340,2,16,4,4,4,0,0,3.87,0.13,G
2.8,860,4,16,1,2,1.8,1,1,2,0.8,N
2.98,860,0,16,1,1,1.533,1.447,0,2.32,0.66,G
3.37,870,4,17,4,1,1.6,1.77,1,1.6,1.77,N
3,1010,2,14,2,0,1,2,0,2.33,0.67,G
3.58,1370,0,17,4,3,3.176,0.404,1,3.16,0.42,G
3.38,1020,0,16,1,3,2.467,0.913,1,2.743,0.637,G
2,900,0,13,2,3,1.75,0.25,1,2.313,-0.313,G
3.71,1120,4,16,2,4,3.813,-0.103,0,3.862,-0.152,G
3.63,960,4,15,4,3,3,0.63,0,2.779,0.851,G
4,1130,2,15,,,3.8,0.2,0,3.938,0.062,G
3.4,930,3,17,4,2,1.706,1.694,1,2.684,0.716,G
2.7,1090,3,16,1,2,3,-0.3,1,3.108,-0.408,G
3.7,1110,2,15,4,4,3.6,0.1,0,3.485,0.215,G
3.57,1070,4,16,2,3,3.188,0.382,1,3.453,0.117,G
3.04,1140,3,15,4,2,2.6,0.44,0,2.559,0.481,N
3.52,1230,3,15,2,3,3.429,0.091,0,3.084,0.436,G
3.96,1290,2,15,2,4,4,-0.04,1,4,-0.04,G
3.48,1110,4,16,2,3,3.067,0.413,0,3.403,0.077,G
2.75,1400,0,16,4,2,1.154,1.596,1,1.154,1.596,N
3.72,1270,4,16,4,4,3.5,0.22,0,2.99,0.73,G
3.5,1180,2,16,1,3,2.688,0.812,0,3.37,0.13,G
3.35,1160,4,13,4,0,1.231,2.119,0,2.551,0.799,G
3.08,760,2,17,2,3,3.313,-0.233,0,3.313,-0.233,N
3.06,1010,2,15,,,2.8,0.26,0, ,3.06,N
3.57,1320,0,16,4,2,3.063,0.507,0,3.063,0.507,N
2.71,860,2,15,4,0,0.167,2.543,0, ,2.71,N
3.3,990,0,16,1,2,3.067,0.233,1,3.034,0.266,G
3.65,1310,4,16,,,3.467,0.183,1, ,3.65,N
3.38,1070,3,16,2,0,1.933,1.447,0,2.26,1.12,G
3.28,1300,4,16,4,3,3.188,0.092,0,3.245,0.035,N
