hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
3.11,920,0,12,,,2.25,0.86,1,2.593,0.517,G
3.17,1060,2,16,4,3,2.625,0.545,0,1.714,1.456,N
2.94,1000,4,16,2,2,1.4,1.54,0,2.761,0.179,G
3.46,1350,3,16,4,4,3.625,-0.165,1,3.3,0.16,G
3.45,1170,0,16,1,1,0.818,2.632,1,3.073,0.377,G
3,720,2,14,2,0,1.231,1.769,1,2.228,0.772,N
3.6,1070,4,16,4,2,2.75,0.85,0,3.019,0.581,G
2.7,400,2,16,1,2,2.813,-0.113,0,2.807,-0.107,G
3.15,1070,3,16,4,3,3.188,-0.038,0,2.362,0.788,N
3.7,1060,2,17,4,3,2.941,0.759,1,2.941,0.759,N
3.38,1200,2,16,4,3,2.938,0.442,1, ,3.38,N
3.79,1130,4,13,2,3,3.538,0.252,0,2.856,0.934,G
3.21,940,4,16,1,1,2.125,1.085,1,2.734,0.476,G
3.66,1290,0,16,4,2,3.154,0.506,0,3.465,0.195,N
2.7,840,2,17,1,2,2.059,0.641,0,2.473,0.227,G
2.07,980,0,12,,,1.333,0.737,0,2.07,0,N
3.98,1320,4,16,4,3,3.375,0.605,1,3.356,0.624,G
3.5,1240,4,16,4,4,3.813,-0.313,0,3.661,-0.161,G
3.8,1400,0,16,2,4,4,-0.2,0, ,3.8,N
3.78,1220,2,16,4,2,2.692,1.088,0,3.15,0.63,N
3.58,1150,3,16,4,3,3.231,0.349,1,3.231,0.349,N
2.78,1010,1,17,2,3,3.188,-0.408,0,3.402,-0.622,G
2.43,950,0,16,1,4,2.4,0.03,0,2.559,-0.129,G
2.75,870,3,14,1,0,1.154,1.596,0,2.217,0.533,G
3.36,930,3,14,,,2,1.36,1,2.883,0.477,G
2.95,1140,1,16,2,1,3,-0.05,0,3.142,-0.192,G
2.6,920,0,13,,,2.778,-0.178,0,3.111,-0.511,G
2.3,920,1,13,1,1,1.75,0.55,1,2.973,-0.673,G
3.46,1140,3,17,4,4,3.6,-0.14,0,3.875,-0.415,G
3.72,1220,4,17,4,3,3.143,0.577,1,3.027,0.693,G
2.57,1360,2,16,4,3,1.846,0.724,0,2.57,0,N
2.94,1130,3,13,2,0,1.385,1.555,0,2.556,0.384,G
2.96,1200,3,16,2,1,2.875,0.085,1,2.252,0.708,N
2.43,1020,4,14,1,3,1.833,0.597,0, ,2.43,N
2.7,920,2,14,2,0,0,2.7,0, ,2.7,N
3.25,960,4,16,1,2,2.467,0.783,0,2.467,0.783,N
3.84,1220,2,17,4,3,3.059,0.781,0,3.06,0.78,G
3.3,1100,0,16,2,2,2.8,0.5,0,3.641,-0.341,G
3.22,1080,1,14,4,2,2.214,1.006,0,2.804,0.416,G
2.6,990,4,15,4,1,1.692,0.908,0,2.081,0.519,G
2.3,1250,3,16,4,2,1.813,0.487,1,2.11,0.19,G
2.82,1160,0,14,4,0,1.357,1.463,0,2.952,-0.132,G
3.94,1280,1,15,2,4,3.2,0.74,0,3.703,0.237,G
3.3,1150,0,15,2,2,2.5,0.8,0,2.333,0.967,N
3.53,1010,3,15,4,4,3.8,-0.27,0,2.927,0.603,G
4,1440,1,16,4,4,3.625,0.375,0,3.717,0.283,G
2.81,1020,1,15,4,3,2.933,-0.123,0,2.872,-0.062,G
3.6,1430,4,17,4,3,3.588,0.012,0,3.474,0.126,G
2.55,1040,0,12,,,3.25,-0.7,0,3.25,-0.7,N
2.9,950,3,14,1,4,3.538,-0.638,1,3.542,-0.642,G
2.76,1100,2,16,2,2,2.333,0.427,0,3.5,-0.74,G
2.7,900,4,16,1,1,0.667,2.033,0,1.833,0.867,N
3,940,3,14,1,2,2.385,0.615,0,2.622,0.378,N
2.68,1080,0,15,1,3,2.75,-0.07,0,2.26,0.42,G
2.96,1110,0,16,4,2,2.75,0.21,0,2.197,0.763,G
3.82,1010,2,16,2,4,3.8,0.02,0,3.886,-0.066,G
3.5,1120,3,16,4,1,2.385,1.115,0,2.387,1.113,N
3.7,1090,0,16,4,3,2.75,0.95,1,2.75,0.95,N
3.24,1080,1,17,4,3,3.235,0.005,0,2.893,0.347,G
3.16,910,3,16,1,4,3.063,0.097,0,2.472,0.688,N
3.14,1080,0,13,2,2,2.75,0.39,0,2.763,0.377,G
3.76,1320,2,16,4,4,4,-0.24,1,3.946,-0.186,G
3.48,1100,4,16,1,2,2.846,0.634,0,2.556,0.924,G
2.89,1130,3,15,4,3,2.867,0.023,0,2,0.89,G
3.3,1140,3,16,1,4,3.6,-0.3,1, ,3.3,N
3.7,1070,4,16,4,3,3.375,0.325,0,2.427,1.273,G
2.83,1070,3,16,4,0,1.313,1.517,0,2.316,0.514,N
3.75,1080,3,16,1,4,3,0.75,0,3.6,0.15,G
2.6,950,4,16,2,3,2.875,-0.275,0,2.988,-0.388,G
3.76,1290,4,16,4,3,2.813,0.947,1,2.464,1.296,N
3.8,1460,2,15,4,3,3.467,0.333,1,3.41,0.39,G
3.72,1330,2,16,2,3,3.375,0.345,0,3.66,0.06,G
3.81,1130,4,16,2,4,3.2,0.61,0,3.115,0.695,G
3.6,1140,1,15,4,4,4,-0.4,0,2.75,0.85,G
2.73,1040,4,15,2,4,3.786,-1.056,0,3.442,-0.712,G
3.24,1100,4,17,4,3,2.857,0.383,0,3.156,0.084,G
2.73,830,2,17,1,0,2.357,0.373,0,2.622,0.108,G
3.3,1080,4,16,,,2.75,0.55,0,2.615,0.685,G
3.03,830,3,16,1,2,2.188,0.842,1,2.45,0.58,G
3.28,1130,3,16,1,3,3.25,0.03,1,3.595,-0.315,G
2.7,1060,0,16,2,1,2.2,0.5,0,2.757,-0.057,G
3.82,1140,4,16,2,4,4,-0.18,0,4,-0.18,N
3.98,1160,4,16,4,4,3.438,0.542,1,3.343,0.637,G
3.9,1100,3,16,4,3,2.625,1.275,0,2.621,1.279,G
2.68,1180,1,15,2,0,1.714,0.966,1,2.556,0.124,N
3.8,1270,0,16,4,4,3.688,0.112,1,3.712,0.088,G
3.7,1360,4,16,4,2,2.938,0.762,0,3.091,0.609,G
3.46,1140,3,15,2,2,3,0.46,1,2.791,0.669,G
3.15,1180,4,16,2,0,3.333,-0.183,0,3.555,-0.405,G
3.47,1280,4,16,4,3,2.923,0.547,1,2.975,0.495,G
3.19,1200,4,16,4,3,2.615,0.575,1,2.864,0.326,G
2.846,1200,0,15,4,0,0,2.846,0, ,2.846,N
3.54,1390,0,15,4,4,3.8,-0.26,0,3.8,-0.26,N
3.6,1210,4,16,2,3,3.625,-0.025,0,3.864,-0.264,G
3.16,1200,2,15,2,2,3.214,-0.054,1,3.204,-0.044,G
3.9,1180,1,16,4,0,1.462,2.438,0,2.903,0.997,N
2.97,1160,4,16,2,4,3.063,-0.093,0,3.063,-0.093,N
3.98,1570,4,17,4,4,3,0.98,1,3.122,0.858,G
3.54,1130,3,16,2,4,3.4,0.14,1,2.86,0.68,N
3.64,1250,3,16,4,2,3.125,0.515,0,2.889,0.751,N
4,1440,4,16,4,4,4,0,0,4,0,G
2.36,990,4,14,1,3,2,0.36,0,2.34,0.02,G
3.7,1300,3,16,4,1,2.938,0.762,1,3.069,0.631,G
2.25,1250,3,12,,,1.75,0.5,1,1.792,0.458,N
3.66,1130,4,16,4,4,3.688,-0.028,1,3.397,0.263,G
3.91,1440,4,16,6,4,3.813,0.097,0,3.458,0.452,G
3.3,840,0,14,2,0,2,1.3,0,2,1.3,N
3.93,1150,0,17,2,3,3.267,0.663,1,3.267,0.663,N
3.09,1160,4,16,4,3,2.5,0.59,0,2.729,0.361,G
3.49,1090,2,15,4,4,3.2,0.29,0,4,-0.51,N
3.01,1030,2,15,3,2,3.2,-0.19,1,1.645,1.365,N
3,1260,4,17,4,0,1.429,1.571,1,3.173,-0.173,G
2.72,760,2,14,2,1,2.5,0.22,1,2.162,0.558,N
3.01,1020,3,13,2,2,2.5,0.51,0,2.629,0.381,G
3.86,1360,2,16,,,4,-0.14,0,3.775,0.085,G
3.71,1230,4,16,4,3,3.688,0.022,1,3.578,0.132,G
2.3,1210,0,16,4,1,1.438,0.862,0,1.842,0.458,N
3.97,1260,0,17,4,2,2.647,1.323,0,3.035,0.935,G
3.75,1290,2,16,4,4,3.688,0.062,0,3.125,0.625,G
3.59,990,2,17,4,4,2.882,0.708,1,3.047,0.543,G
3.65,1350,4,17,4,3,3.071,0.579,1,3.144,0.506,G
3,1150,2,13,2,0,2.2,0.8,0,2.774,0.226,G
3.4,1230,4,16,2,4,3.8,-0.4,1,3.702,-0.302,G
3.88,1150,4,16,4,1,1.938,1.942,1,2.725,1.155,G
2.7,990,4,15,2,2,2.733,-0.033,0,2.962,-0.262,G
3.71,1220,4,15,4,2,2.933,0.777,1,3.168,0.542,G
2.88,1070,0,15,4,0,0.833,2.047,0,2.833,0.047,N
3.78,1530,4,16,3,3,3.563,0.217,0,3.22,0.56,G
2.68,1070,4,17,2,4,2.706,-0.026,0,2.872,-0.192,G
3.7,1340,4,17,3,2,3.688,0.012,1,3.83,-0.13,G
3.04,1050,0,16,4,0,0.429,2.611,0, ,3.04,N
3.88,1230,3,17,4,4,4,-0.12,1,3.585,0.295,G
2.78,970,3,14,1,3,2.308,0.472,1,1.886,0.894,N
2.23,1040,0,16,1,0,0,2.23,0,0,2.23,N
3.02,1060,3,15,4,2,2.8,0.22,0,2.8,0.22,N
3.01,990,0,13,2,1,1.462,1.548,1,1.789,1.221,N
2.96,990,0,17,4,3,2.412,0.548,0,2.412,0.548,N
2.3,990,4,14,1,0,0,2.3,0, ,2.3,N
2,1120,3,16,,,3.067,-1.067,0,3.697,-1.697,G
3.1,1050,0,12,,,2.25,0.85,1,3.538,-0.438,G
3.8,1230,0,16,,,4,-0.2,0,3.835,-0.035,G
3.23,930,4,16,1,0,1.6,1.63,1,1.649,1.581,N
2.28,970,0,17,1,0,0.214,2.066,0,0.231,2.049,N
3.3,1140,0,16,2,0,0,3.3,0, ,3.3,N
4,1390,0,17,4,4,3.353,0.647,1,3.353,0.647,N
3.62,1240,0,16,2,3,3.6,0.02,0, ,3.62,N
