CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
912,2.57,420,400,820,2762,2876,3,1,2,5,BSASP,13,2,112,College Math for Aviation II,D,1,,,,,1.923,1.923,0.647,0.647,BSME,0,0,0,0,10,1.923,1.923,0.647,0.647,N,S
923,2.62,450,450,900,2922,2996,4,1,2,9,BSASP,16,2,112,College Math for Aviation II,AU,0,,,,,1.385,1.385,1.235,1.235,BSASP,0,0,0,0,10,1.385,1.385,1.235,1.235,N,S
927,2.69,660,600,1260,3474,3412,4,1,2,2,NDCOS,14,2,112,College Math for Aviation II,B,3,,,,,3.429,3.429,-0.739,-0.739,BSME,0,0,0,0,26,2.184,2.184,0.506,0.506,N,S
934,2.55,510,440,950,2920,2990,3,1,2,2,NDCOS,16,1,6,Intermediate Algebra,AU,0,,,,,2.692,2.692,-0.142,-0.142,BSAS,0,0,0,0,30,1.903,1.903,0.647,0.647,N,W
947,3.28,480,480,870,3318,3494,3,1,2,7,NDCOS,16,1,6,Intermediate Algebra,B,3,,,,,3.063,3.063,0.217,0.217,BSATM,0,0,0,0,112,2.794,2.794,0.486,0.486,G,G
963,3.05,450,420,870,3120,3310,3,1,2,7,BSATM,16,1,6,Intermediate Algebra,F,0,,,,,2.438,2.438,0.612,0.612,BSATM,0,0,0,0,0, ,0,,3.05,N,W
968,2.15,500,500,1000,2790,2720,4,1,2,5,BSATM,15,2,111,College Math for Aviation I,F,0,,,,,2.2,2.2,-0.05,-0.05,BSATM,0,0,0,0,12,2.2,2.2,-0.05,-0.05,N,W
522,3.87,540,540,1080,3942,4176,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,B,3,,,,,3.563,3.563,0.307,0.307,BSAE,0,0,0,1,132,2.958,2.958,0.912,0.912,G,G
698,3.41,590,460,1050,3556,3778,4,1,2,7,BSAS,14,1,6,Intermediate Algebra,F,0,,,,,1.357,1.357,2.053,2.053,BSA,0,0,0,0,127,2.412,2.412,0.998,0.998,G,G
542,3.25,600,580,1180,3710,3780,4,1,2,7,BSAS,16,,,,,,,,,,3.4,3.4,-0.15,-0.15,BSA,0,0,0,0,107,3.301,3.301,-0.051,-0.051,G,G
910,2.88,390,360,750,2838,3054,3,1,1,5,BSBC,14,,,,,,,,,,2.75,2.75,0.13,0.13,BSBC,1,0,0,0,132,2.28,2.28,0.6,0.6,G,G
782,3.1,470,480,900,3240,3380,3,1,2,7,BSBA,13,2,120,Quantitative Methods I,B,3,,,,,3.077,3.077,0.023,0.023,BSBA,0,0,0,0,115,3.063,3.063,0.037,0.037,G,G
327,2.93,590,590,1090,3438,3434,3,1,2,7,BSAE,15,4,140,College Algebra,B,3,142,Trigonometry,C,2,2.2,2.2,0.73,0.73,BSAE,0,0,0,1,123,2.748,2.748,0.182,0.182,G,G
622,2.81,590,590,1000,3276,3248,2,1,2,4,BSATM,17,2,111,College Math for Aviation I,C,2,,,,,1.5,1.5,1.31,1.31,BSATM,1,0,0,0,11,1.5,1.5,1.31,1.31,N,W
359,3.38,760,760,1500,4288,4204,4,1,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,D,1,,,,,2,2,1.38,1.38,BSAE,0,0,0,1,0, ,0,,3.38,N,W
835,3.72,710,710,1340,4282,4316,2,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,1.571,1.571,2.149,2.149,BSAE,0,0,0,1,0, ,0,,3.72,N,W
922,4,540,680,1220,4300,4420,4,1,2,7,BSAE,14,4,242,Calculus & Analytical Geom II,A,4,,,,,4,4,0,0,BSAE,0,0,0,1,124,3.91,3.91,0.09,0.09,G,G
830,2.94,670,670,1210,3644,3562,2,1,1,7,BSAS,13,2,112,College Math for Aviation II,A,4,,,,,2.917,2.917,0.023,0.023,BSATM,0,0,0,0,108,3.241,3.241,-0.301,-0.301,G,G
514,3.3,600,580,1180,3740,3820,2,1,2,7,BSA,13,2,111,College Math for Aviation I,F,0,,,,,1.231,1.231,2.069,2.069,BSAMET,0,0,0,0,10,1.231,1.231,2.069,2.069,N,W
903,3.41,560,560,1060,3666,3788,3,1,2,2,BSAMS,16,2,111,College Math for Aviation I,C,2,,,,,2.313,2.313,1.097,1.097,BSAMS,1,0,0,0,52,2.538,2.538,0.872,0.872,N,W
69,2.72,470,470,860,2962,3036,3,1,2,7,BSAS,15,1,6,Intermediate Algebra,D,1,,,,,1.857,1.857,0.863,0.863,BSAS,0,0,0,0,0, ,0,,2.72,N,W
307,3.15,630,580,1210,3680,3730,4,1,1,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.125,2.125,1.025,1.025,BSCE,0,0,0,1,25,1.344,1.344,1.806,1.806,N,S
41,3.47,520,520,1030,3632,3806,4,1,2,7,BSAE,16,1,6,Intermediate Algebra,B,3,,,,,3.067,3.067,0.403,0.403,BSAS,1,1,0,1,33,3.148,3.148,0.322,0.322,N,W
346,3.3,450,450,850,3280,3490,2,1,2,7,BSAS,14,1,6,Intermediate Algebra,A,4,,,,,2.786,2.786,0.514,0.514,BSATM,0,0,0,0,122,2.877,2.877,0.423,0.423,G,G
103,3.5,520,720,1240,4060,4040,2,1,2,7,BSAE,16,4,242,Calculus & Analytical Geom II,B,3,,,,,2.813,2.813,0.687,0.687,BSAE,1,0,0,1,140,2.831,2.831,0.669,0.669,G,G
351,3.3,560,560,1050,3590,3690,4,1,2,4,BSAS,14,2,111,College Math for Aviation I,A,4,,,,,4,4,-0.7,-0.7,BSAS,0,0,0,0,110,3.302,3.302,-0.002,-0.002,G,G
